Neurological Disease,Source,Disease Class
"Single episode depressive disorder, moderate, without psychotic symptoms, with melancholia and seasonal pattern, current episode perinatal",ICD,Diseases of the nervous system
"Single episode depressive disorder, moderate, without psychotic symptoms, with melancholia, current episode perinatal",ICD,Diseases of the nervous system
"Single episode depressive disorder, moderate, without psychotic symptoms, with prominent anxiety symptoms",ICD,Diseases of the nervous system
"Single episode depressive disorder, moderate, without psychotic symptoms, with prominent anxiety symptoms and melancholia",ICD,Diseases of the nervous system
"Single episode depressive disorder, moderate, without psychotic symptoms, with prominent anxiety symptoms and melancholia, current episode perinatal",ICD,Diseases of the nervous system
"Single episode depressive disorder, moderate, without psychotic symptoms, with prominent anxiety symptoms and seasonal pattern",ICD,Diseases of the nervous system
"Single episode depressive disorder, moderate, without psychotic symptoms, with prominent anxiety symptoms and seasonal pattern, current episode perinatal",ICD,Diseases of the nervous system
"Single episode depressive disorder, moderate, without psychotic symptoms, with prominent anxiety symptoms, current episode perinatal",ICD,Diseases of the nervous system
"Single episode depressive disorder, moderate, without psychotic symptoms, with prominent anxiety symptoms, melancholia, and seasonal pattern",ICD,Diseases of the nervous system
"Single episode depressive disorder, moderate, without psychotic symptoms, with prominent anxiety symptoms, melancholia, and seasonal pattern, current episode perinatal",ICD,Diseases of the nervous system
"Single episode depressive disorder, moderate, without psychotic symptoms, with seasonal pattern",ICD,Diseases of the nervous system
"Single episode depressive disorder, moderate, without psychotic symptoms, with seasonal pattern, current episode perinatal",ICD,Diseases of the nervous system
"Single episode depressive disorder, severe, with psychotic symptoms",ICD,Diseases of the nervous system
"Single episode depressive disorder, severe, with psychotic symptoms, current episode perinatal",ICD,Diseases of the nervous system
"Single episode depressive disorder, severe, with psychotic symptoms, with melancholia",ICD,Diseases of the nervous system
"Single episode depressive disorder, severe, with psychotic symptoms, with melancholia and seasonal pattern",ICD,Diseases of the nervous system
"Single episode depressive disorder, severe, with psychotic symptoms, with melancholia and seasonal pattern, current episode perinatal",ICD,Diseases of the nervous system
"Single episode depressive disorder, severe, with psychotic symptoms, with melancholia, current episode perinatal",ICD,Diseases of the nervous system
"Single episode depressive disorder, severe, with psychotic symptoms, with prominent anxiety symptoms",ICD,Diseases of the nervous system
"Single episode depressive disorder, severe, with psychotic symptoms, with prominent anxiety symptoms and melancholia",ICD,Diseases of the nervous system
"Single episode depressive disorder, severe, with psychotic symptoms, with prominent anxiety symptoms and melancholia, current episode perinatal",ICD,Diseases of the nervous system
"Single episode depressive disorder, severe, with psychotic symptoms, with prominent anxiety symptoms and seasonal pattern",ICD,Diseases of the nervous system
"Single episode depressive disorder, severe, with psychotic symptoms, with prominent anxiety symptoms and seasonal pattern, current episode perinatal",ICD,Diseases of the nervous system
"Single episode depressive disorder, severe, with psychotic symptoms, with prominent anxiety symptoms, current episode perinatal",ICD,Diseases of the nervous system
"Single episode depressive disorder, severe, with psychotic symptoms, with prominent anxiety symptoms, melancholia, and seasonal pattern",ICD,Diseases of the nervous system
"Single episode depressive disorder, severe, with psychotic symptoms, with prominent anxiety symptoms, melancholia, and seasonal pattern, current episode perinatal",ICD,Diseases of the nervous system
"Single episode depressive disorder, severe, with psychotic symptoms, with seasonal pattern",ICD,Diseases of the nervous system
"Single episode depressive disorder, severe, with psychotic symptoms, with seasonal pattern, current episode perinatal",ICD,Diseases of the nervous system
"Single episode depressive disorder, severe, without psychotic symptoms",ICD,Diseases of the nervous system
"Single episode depressive disorder, severe, without psychotic symptoms, current episode perinatal",ICD,Diseases of the nervous system
"Single episode depressive disorder, severe, without psychotic symptoms, with melancholia",ICD,Diseases of the nervous system
"Single episode depressive disorder, severe, without psychotic symptoms, with melancholia and seasonal pattern",ICD,Diseases of the nervous system
"Single episode depressive disorder, severe, without psychotic symptoms, with melancholia and seasonal pattern, current episode perinatal",ICD,Diseases of the nervous system
"Single episode depressive disorder, severe, without psychotic symptoms, with melancholia, current episode perinatal",ICD,Diseases of the nervous system
"Single episode depressive disorder, severe, without psychotic symptoms, with prominent anxiety symptoms",ICD,Diseases of the nervous system
"Single episode depressive disorder, severe, without psychotic symptoms, with prominent anxiety symptoms and melancholia",ICD,Diseases of the nervous system
"Single episode depressive disorder, severe, without psychotic symptoms, with prominent anxiety symptoms and melancholia, current episode perinatal",ICD,Diseases of the nervous system
"Single episode depressive disorder, severe, without psychotic symptoms, with prominent anxiety symptoms and seasonal pattern",ICD,Diseases of the nervous system
"Single episode depressive disorder, severe, without psychotic symptoms, with prominent anxiety symptoms and seasonal pattern, current episode perinatal",ICD,Diseases of the nervous system
"Single episode depressive disorder, severe, without psychotic symptoms, with prominent anxiety symptoms, current episode perinatal",ICD,Diseases of the nervous system
"Single episode depressive disorder, severe, without psychotic symptoms, with prominent anxiety symptoms, melancholia, and seasonal pattern",ICD,Diseases of the nervous system
"Single episode depressive disorder, severe, without psychotic symptoms, with prominent anxiety symptoms, melancholia, and seasonal pattern, current episode perinatal",ICD,Diseases of the nervous system
"Single episode depressive disorder, severe, without psychotic symptoms, with seasonal pattern",ICD,Diseases of the nervous system
"Single episode depressive disorder, severe, without psychotic symptoms, with seasonal pattern, current episode perinatal",ICD,Diseases of the nervous system
"Single episode depressive disorder, unspecified severity",ICD,Diseases of the nervous system
Single optic neuritis aquaporin-4 antibody positive,ICD,Diseases of the nervous system
Single seizure due to abnormalities of brain development,ICD,Diseases of the nervous system
Single seizure due to central nervous system infections or infestations,ICD,Diseases of the nervous system
Single seizure due to cerebrovascular diseases,ICD,Diseases of the nervous system
Single seizure due to degenerative brain disorders,ICD,Diseases of the nervous system
Single seizure due to genetic syndromes with widespread or progressive effects,ICD,Diseases of the nervous system
Single seizure due to immune disorders,ICD,Diseases of the nervous system
Single seizure due to injuries to the head,ICD,Diseases of the nervous system
Single seizure due to other remote causes,ICD,Diseases of the nervous system
Single seizure due to prenatal or perinatal brain insults,ICD,Diseases of the nervous system
Single seizure due to remote causes,ICD,Diseases of the nervous system
Single seizure due to tumours of the nervous system,ICD,Diseases of the nervous system
Single seizure with mesial temporal sclerosis,ICD,Diseases of the nervous system
Single strategic infarct dementia,ICD,Diseases of the nervous system
Single transverse myelitis aquaporin-4 antibody positive,ICD,Diseases of the nervous system
Single unprovoked seizure,ICD,Diseases of the nervous system
Sinus Pericranii,MeSH,Nervous System Malformations
Sinus Thromboses,MeSH,Central Nervous System Diseases
"Sinus Thromboses, Cavernous",MeSH,Central Nervous System Diseases
"Sinus Thromboses, Cranial",MeSH,Central Nervous System Diseases
"Sinus Thromboses, Intracranial",MeSH,Central Nervous System Diseases
"Sinus Thromboses, Sagittal",MeSH,Central Nervous System Diseases
"Sinus Thromboses, Transverse",MeSH,Central Nervous System Diseases
Sinus Thrombosis,MeSH,Central Nervous System Diseases
"Sinus Thrombosis, Cavernous",MeSH,Central Nervous System Diseases
"Sinus Thrombosis, Cranial",MeSH,Central Nervous System Diseases
"Sinus Thrombosis, Intracranial",MeSH,Central Nervous System Diseases
"Sinus Thrombosis, Sagittal",MeSH,Central Nervous System Diseases
Sixth Cranial Nerve Diseases,MeSH,Cranial Nerve Diseases
Sixth Cranial Nerve Disorders,MeSH,Cranial Nerve Diseases
Sixth Cranial Nerve Injuries,MeSH,Cranial Nerve Diseases
Sixth Cranial Nerve Injury,MeSH,Cranial Nerve Diseases
"Sixth Nerve Palsy, Traumatic",MeSH,Cranial Nerve Diseases
Sixth Nerve Trauma,MeSH,Cranial Nerve Diseases
Sixth nerve palsy,ICD,Diseases of the nervous system
"Sixth-Nerve Palsies, Traumatic",MeSH,Cranial Nerve Diseases
"Sixth-Nerve Palsy, Traumatic",MeSH,Cranial Nerve Diseases
Sixth-Nerve Trauma,MeSH,Cranial Nerve Diseases
Sixth-Nerve Traumas,MeSH,Cranial Nerve Diseases
Skin transplant failure or rejection,ICD,Diseases of the nervous system
Skull Fracture,MeSH,"Trauma, Nervous System"
"Skull Fracture, Basilar",MeSH,"Trauma, Nervous System"
"Skull Fracture, Depressed",MeSH,"Trauma, Nervous System"
Skull Fractures,MeSH,"Trauma, Nervous System"
"Skull Fractures, Basilar",MeSH,"Trauma, Nervous System"
"Skull Fractures, Depressed",MeSH,"Trauma, Nervous System"
Sleep Apnea,MeSH,Sleep Wake Disorders
Sleep Apnea Hypopnea Syndrome,MeSH,Sleep Wake Disorders
Sleep Apnea Syndrome,MeSH,Sleep Wake Disorders
"Sleep Apnea Syndrome, Obstructive",MeSH,Sleep Wake Disorders
Sleep Apnea Syndromes,MeSH,Sleep Wake Disorders
"Sleep Apnea, Central",MeSH,Sleep Wake Disorders
"Sleep Apnea, Lethal Central",MeSH,Sleep Wake Disorders
"Sleep Apnea, Obstructive",MeSH,Sleep Wake Disorders
Sleep Apneas,MeSH,Sleep Wake Disorders
"Sleep Apneas, Central",MeSH,Sleep Wake Disorders
"Sleep Apneas, Obstructive",MeSH,Sleep Wake Disorders
Sleep Arousal Disorder,MeSH,Sleep Wake Disorders
Sleep Arousal Disorders,MeSH,Sleep Wake Disorders
Sleep Bruxism,MeSH,Sleep Wake Disorders
Sleep Bruxisms,MeSH,Sleep Wake Disorders
Sleep Deprivation,MeSH,Sleep Wake Disorders
"Sleep Disorder, Intrinsic",MeSH,Sleep Wake Disorders
"Sleep Disorder, Periodic Movements",MeSH,Sleep Wake Disorders
"Sleep Disordered Breathing, Central",MeSH,Sleep Wake Disorders
"Sleep Disorders, Circadian Rhythm",MeSH,Chronobiology Disorders
"Sleep Disorders, Intrinsic",MeSH,Sleep Wake Disorders
Sleep Hypopnea,MeSH,Sleep Wake Disorders
Sleep Hypopneas,MeSH,Sleep Wake Disorders
Sleep Initiation and Maintenance Disorders,MeSH,Sleep Wake Disorders
Sleep Myoclonus Syndrome,MeSH,Sleep Wake Disorders
Sleep Myoclonus Syndromes,MeSH,Sleep Wake Disorders
Sleep Paralysis,MeSH,Sleep Wake Disorders
Sleep Related Dystonia,MeSH,Sleep Wake Disorders
"Sleep Related Periodic Leg Movements, Excessive",MeSH,Sleep Wake Disorders
Sleep Terror,MeSH,Sleep Wake Disorders
Sleep Terror Disorder,MeSH,Sleep Wake Disorders
Sleep Terrors,MeSH,Sleep Wake Disorders
Sleep Wake Cycle Disorder,MeSH,Chronobiology Disorders
